image_id,source_image_id,image_file,gt_file,is_augmented,augmentation_index,backend,seed,caption,prompt,negative_prompt,style_tag,mean_abs_pixel_change,max_abs_pixel_change,change_entropy,cross_attention_used,cross_attention_num_maps,cross_attention_map_entropy,selected_token_index,selected_token,selected_token_score,gt_entropy,pseudo_gt_entropy
IMG002_10100,IMG002_10100,IMG002_10100.jpg,IMG002_10100.npy,0,-1,original_copy,,A man with a building model on his head holds small toy airplanes.,,,,0.0,0.0,0.0,0,0,0.0,-1,,0.0,12.613530416435424,12.613530416435424
IMG002_10100_AUG000,IMG002_10100,IMG002_10100_AUG000.jpg,IMG002_10100_AUG000.npy,1,0,opencv_caption_style,1173222463,A man with a building model on his head holds small toy airplanes.,"Photorealistic image edit of the same scene: A man with a building model on his head holds small toy airplanes. Apply soft diffused lighting, with mild zoom variation. Preserve scene structure, object identities, and spatial layout.",,soft diffused lighting,37.08208465576172,243.0,12.814124171667572,0,0,0.0,-1,,0.0,12.613530416435424,12.562281894977332
IMG003_10000,IMG003_10000,IMG003_10000.jpg,IMG003_10000.npy,0,-1,original_copy,,A hand holds a finger near the missing nose of a stone bust.,,,,0.0,0.0,0.0,0,0,0.0,-1,,0.0,12.419412229844966,12.419412229844966
IMG003_10000_AUG000,IMG003_10000,IMG003_10000_AUG000.jpg,IMG003_10000_AUG000.npy,1,0,opencv_caption_style,1885709471,A hand holds a finger near the missing nose of a stone bust.,"Photorealistic image edit of the same scene: A hand holds a finger near the missing nose of a stone bust. Apply clean studio-like lighting, with slightly shifted viewpoint. Preserve scene structure, object identities, and spatial layout.",,clean studio-like lighting,31.535091400146484,245.0,12.807506358638307,0,0,0.0,-1,,0.0,12.419412229844966,12.268377709503511
IMG004_10100,IMG004_10100,IMG004_10100.jpg,IMG004_10100.npy,0,-1,original_copy,,A man sits on a bench near a phone hanging from a pillar.,,,,0.0,0.0,0.0,0,0,0.0,-1,,0.0,12.651877351560415,12.651877351560415
IMG004_10100_AUG000,IMG004_10100,IMG004_10100_AUG000.jpg,IMG004_10100_AUG000.npy,1,0,opencv_caption_style,1561234711,A man sits on a bench near a phone hanging from a pillar.,"Photorealistic image edit of the same scene: A man sits on a bench near a phone hanging from a pillar. Apply clean studio-like lighting, with small focal-length variation. Preserve scene structure, object identities, and spatial layout.",,clean studio-like lighting,44.45334243774414,255.0,13.052429664373904,0,0,0.0,-1,,0.0,12.651877351560415,12.636100062229161
IMG005_10100,IMG005_10100,IMG005_10100.jpg,IMG005_10100.npy,0,-1,original_copy,,A person sits on the shoulders of another person in a formal room.,,,,0.0,0.0,0.0,0,0,0.0,-1,,0.0,12.517044393799097,12.517044393799097
IMG005_10100_AUG000,IMG005_10100,IMG005_10100_AUG000.jpg,IMG005_10100_AUG000.npy,1,0,opencv_caption_style,398418263,A person sits on the shoulders of another person in a formal room.,"Photorealistic image edit of the same scene: A person sits on the shoulders of another person in a formal room. Apply documentary photograph style, with small focal-length variation. Preserve scene structure, object identities, and spatial layout.",,documentary photograph style,34.62433624267578,238.0,13.024679322780855,0,0,0.0,-1,,0.0,12.517044393799097,12.487355625079545
IMG006_10000,IMG006_10000,IMG006_10000.jpg,IMG006_10000.npy,0,-1,original_copy,,A large airplane wing flies over a ground covered in colorful play mats.,,,,0.0,0.0,0.0,0,0,0.0,-1,,0.0,13.019413423523929,13.019413423523929
IMG006_10000_AUG000,IMG006_10000,IMG006_10000_AUG000.jpg,IMG006_10000_AUG000.npy,1,0,opencv_caption_style,1160081537,A large airplane wing flies over a ground covered in colorful play mats.,"Photorealistic image edit of the same scene: A large airplane wing flies over a ground covered in colorful play mats. Apply soft diffused lighting, with slightly shifted viewpoint. Preserve scene structure, object identities, and spatial layout.",,soft diffused lighting,37.80433654785156,213.0,13.142057738777225,0,0,0.0,-1,,0.0,13.019413423523929,13.006428242683114
IMG007_10000,IMG007_10000,IMG007_10000.jpg,IMG007_10000.npy,0,-1,original_copy,,A silver car sits parked across white lines in an asphalt parking lot.,,,,0.0,0.0,0.0,0,0,0.0,-1,,0.0,12.572525842695995,12.572525842695995
IMG007_10000_AUG000,IMG007_10000,IMG007_10000_AUG000.jpg,IMG007_10000_AUG000.npy,1,0,opencv_caption_style,1977618667,A silver car sits parked across white lines in an asphalt parking lot.,"Photorealistic image edit of the same scene: A silver car sits parked across white lines in an asphalt parking lot. Apply high dynamic range, with subtle framing change. Preserve scene structure, object identities, and spatial layout.",,high dynamic range,39.873809814453125,251.0,12.989593512170018,0,0,0.0,-1,,0.0,12.572525842695995,12.451934557348068
IMG008_10100,IMG008_10100,IMG008_10100.jpg,IMG008_10100.npy,0,-1,original_copy,,A man sitting at a table looks at a tablet displaying a face.,,,,0.0,0.0,0.0,0,0,0.0,-1,,0.0,12.580678227529916,12.580678227529916
IMG008_10100_AUG000,IMG008_10100,IMG008_10100_AUG000.jpg,IMG008_10100_AUG000.npy,1,0,opencv_caption_style,840791536,A man sitting at a table looks at a tablet displaying a face.,"Photorealistic image edit of the same scene: A man sitting at a table looks at a tablet displaying a face. Apply high dynamic range, with mild zoom variation. Preserve scene structure, object identities, and spatial layout.",,high dynamic range,30.77749252319336,255.0,13.041846465159153,0,0,0.0,-1,,0.0,12.580678227529916,12.524557938603266
IMG010_10000,IMG010_10000,IMG010_10000.jpg,IMG010_10000.npy,0,-1,original_copy,,A hand holds a photograph and a colorful ribbon before a large building.,,,,0.0,0.0,0.0,0,0,0.0,-1,,0.0,12.659451469685791,12.659451469685791
IMG010_10000_AUG000,IMG010_10000,IMG010_10000_AUG000.jpg,IMG010_10000_AUG000.npy,1,0,opencv_caption_style,2032734713,A hand holds a photograph and a colorful ribbon before a large building.,"Photorealistic image edit of the same scene: A hand holds a photograph and a colorful ribbon before a large building. Apply cinematic natural lighting, with small focal-length variation. Preserve scene structure, object identities, and spatial layout.",,cinematic natural lighting,46.244415283203125,240.0,13.18146652291398,0,0,0.0,-1,,0.0,12.659451469685791,12.659878679347457
IMG011_01001,IMG011_01001,IMG011_01001.jpg,IMG011_01001.npy,0,-1,original_copy,,There is a wall of text with a lone person standing on a paved road in the background.,,,,0.0,0.0,0.0,0,0,0.0,-1,,0.0,12.601107006686107,12.601107006686107
IMG011_01001_AUG000,IMG011_01001,IMG011_01001_AUG000.jpg,IMG011_01001_AUG000.npy,1,0,opencv_caption_style,621707635,There is a wall of text with a lone person standing on a paved road in the background.,"Photorealistic image edit of the same scene: There is a wall of text with a lone person standing on a paved road in the background. Apply high dynamic range, with mild zoom variation. Preserve scene structure, object identities, and spatial layout.",,high dynamic range,40.419532775878906,255.0,13.057567471240139,0,0,0.0,-1,,0.0,12.601107006686107,12.521163520857272
IMG012_01001,IMG012_01001,IMG012_01001.jpg,IMG012_01001.npy,0,-1,original_copy,,There is a wall of text with large gray rocky mountains rising in the background.,,,,0.0,0.0,0.0,0,0,0.0,-1,,0.0,12.662841070101422,12.662841070101422
